iter	Logloss
0	0.6928909338
1	0.6926322048
2	0.6923690049
3	0.6921173541
4	0.691879884
5	0.6916444666
6	0.691406513
7	0.6911749783
8	0.6909420099
9	0.6907044572
10	0.6904883811
11	0.6902578508
12	0.6900401361
13	0.689809894
14	0.689607849
15	0.6894157906
16	0.6892020926
17	0.6890092702
18	0.6888065556
19	0.6886116334
20	0.6884159293
21	0.6882342914
22	0.6880666558
23	0.6879008269
24	0.6877289074
25	0.6875544662
26	0.6873606898
27	0.687190305
28	0.6870212732
29	0.6868641698
30	0.6867150568
31	0.6865388256
32	0.6863822452
33	0.6862124478
34	0.686055234
35	0.6859137237
36	0.685769396
37	0.685628871
38	0.6854810959
39	0.6853554866
40	0.6852121452
41	0.6850713354
42	0.6849507136
43	0.6848087699
44	0.6846856078
45	0.6845529281
46	0.6844193474
47	0.6842926918
48	0.6841694284
49	0.6840393855
50	0.6839173825
51	0.6838003566
52	0.6836855127
53	0.6835647619
54	0.6834534159
55	0.6833356269
56	0.6832267177
57	0.6831337344
58	0.6830281393
59	0.6829102061
60	0.682795565
61	0.6826878428
62	0.6825920388
63	0.6824813112
64	0.68237806
65	0.682284454
66	0.6821886173
67	0.6820921894
68	0.6819819239
69	0.6818973668
70	0.6818172149
71	0.6817284496
72	0.6816391887
73	0.681548725
74	0.6814605076
75	0.6813780957
76	0.6812949514
77	0.6812081192
78	0.6811288965
79	0.6810340477
80	0.6809508283
81	0.6808563433
82	0.6807844324
83	0.680699653
84	0.6806277679
85	0.6805492918
86	0.6804737965
87	0.6804031147
88	0.6803249811
89	0.6802417979
90	0.680168769
91	0.6800899103
92	0.6800125998
93	0.6799367582
94	0.6798516242
95	0.6797765042
96	0.6796929308
97	0.6796250533
98	0.679559984
99	0.6795015876
100	0.6794309636
101	0.6793576944
102	0.6792964555
103	0.6792347402
104	0.6791655316
105	0.6791032681
106	0.6790303066
107	0.6789573409
108	0.6788938695
109	0.6788382673
110	0.6787802041
111	0.6787288995
112	0.6786663369
113	0.6786121033
114	0.6785436877
115	0.678496811
116	0.6784335867
117	0.6783781541
118	0.6783162315
119	0.678264599
120	0.6782052279
121	0.678145353
122	0.6780922958
123	0.6780383291
124	0.6779846375
125	0.6779285159
126	0.6778806114
127	0.6778317761
128	0.6777819201
129	0.6777269751
130	0.6776769715
131	0.6776225916
132	0.6775824144
133	0.6775272764
134	0.6774812088
135	0.6774340271
136	0.6773753879
137	0.677325187
138	0.6772782975
139	0.6772325103
140	0.6771891837
141	0.6771432769
142	0.6770888415
143	0.6770314669
144	0.6769846978
145	0.6769391697
146	0.6768935609
147	0.6768567311
148	0.6768045077
149	0.6767646617
150	0.6767279995
151	0.6766796653
152	0.6766386801
153	0.676592491
154	0.6765530942
155	0.6765127919
156	0.6764720155
157	0.6764265543
158	0.6763802537
159	0.6763437108
160	0.6763046467
161	0.6762660743
162	0.6762128063
163	0.6761734159
164	0.6761261948
165	0.676092683
166	0.6760421352
167	0.6760035991
168	0.6759653126
169	0.6759306821
170	0.6758920216
171	0.6758550137
172	0.6758239732
173	0.6757838464
174	0.6757370891
175	0.6756955328
176	0.6756547391
177	0.6756154604
178	0.6755764078
179	0.6755371994
180	0.6754967215
181	0.6754532817
182	0.6754202542
183	0.6753916602
184	0.6753495463
185	0.6753215941
186	0.6752825192
187	0.6752468057
188	0.6752116125
189	0.6751721631
190	0.6751386405
191	0.6751138847
192	0.6750853894
193	0.6750488333
194	0.6750134452
195	0.6749678608
196	0.6749478526
197	0.674913689
198	0.6748776007
199	0.6748415704
200	0.6748082626
201	0.674764213
202	0.6747304165
203	0.6746938073
204	0.6746507211
205	0.6746183627
206	0.674581832
207	0.6745466231
208	0.6745184397
209	0.6744883858
210	0.6744551603
211	0.6744194968
212	0.6743868491
213	0.6743560646
214	0.6743223597
215	0.6742924191
216	0.6742690974
217	0.6742372212
218	0.6742054032
219	0.6741733363
220	0.6741381158
221	0.6741117253
222	0.6740802413
223	0.6740448788
224	0.6740109444
225	0.6739743863
226	0.6739442684
227	0.6739156242
228	0.67388481
229	0.673846841
230	0.6738109287
231	0.6737758589
232	0.6737468465
233	0.6737175838
234	0.6736882279
235	0.6736564596
236	0.6736314155
237	0.6736002036
238	0.6735728156
239	0.6735517635
240	0.6735205636
241	0.6734880095
242	0.6734583542
243	0.6734334203
244	0.6734134994
245	0.6733910247
246	0.6733696116
247	0.6733469146
248	0.6733188281
249	0.6732912747
250	0.6732670088
251	0.6732300966
252	0.6731983653
253	0.6731700942
254	0.6731389602
255	0.6731143215
256	0.6730860859
257	0.6730514276
258	0.6730220655
259	0.6730001409
260	0.6729665564
261	0.6729431866
262	0.6729198438
263	0.672896473
264	0.6728732778
265	0.6728449298
266	0.6728150546
267	0.6727899829
268	0.6727626179
269	0.6727343905
270	0.6727084028
271	0.6726854845
272	0.6726606341
273	0.6726419516
274	0.6726089254
275	0.6725826467
276	0.6725616439
277	0.6725318198
278	0.6725101331
279	0.6724861485
280	0.6724582497
281	0.6724239707
282	0.6723924006
283	0.6723630902
284	0.6723360569
285	0.6723122138
286	0.6722892297
287	0.672263978
288	0.6722403429
289	0.6722102154
290	0.6721879742
291	0.6721669678
292	0.6721375775
293	0.6721162548
294	0.6720856163
295	0.6720582896
296	0.6720326208
297	0.6720065391
298	0.6719844561
299	0.6719555759
