iter	Passed	Remaining
0	114	34275
1	169	25187
2	209	20707
3	259	19236
4	311	18397
5	349	17143
6	379	15904
7	443	16188
8	543	17576
9	590	17119
10	640	16825
11	676	16232
12	710	15682
13	740	15135
14	771	14660
15	798	14181
16	829	13801
17	861	13497
18	892	13203
19	922	12908
20	960	12754
21	989	12503
22	1020	12294
23	1068	12289
24	1099	12093
25	1130	11908
26	1165	11779
27	1194	11604
28	1227	11470
29	1258	11328
30	1289	11193
31	1318	11045
32	1347	10903
33	1396	10923
34	1427	10809
35	1458	10693
36	1500	10666
37	1530	10553
38	1560	10444
39	1590	10337
40	1623	10254
41	1656	10178
42	1710	10221
43	1749	10178
44	1790	10145
45	1843	10178
46	1900	10229
47	1937	10173
48	1970	10092
49	2005	10027
50	2039	9956
51	2083	9938
52	2161	10075
53	2202	10031
54	2247	10013
55	2286	9963
56	2322	9902
57	2353	9818
58	2385	9743
59	2414	9656
60	2448	9594
61	2481	9524
62	2518	9472
63	2546	9388
64	2576	9314
65	2606	9242
66	2637	9172
67	2668	9103
68	2700	9040
69	2730	8971
70	2761	8905
71	2789	8834
72	2830	8800
73	2860	8737
74	2894	8682
75	2923	8615
76	2948	8540
77	2978	8476
78	3006	8410
79	3036	8351
80	3065	8287
81	3094	8225
82	3122	8163
83	3151	8104
84	3179	8041
85	3205	7976
86	3236	7924
87	3265	7867
88	3295	7812
89	3323	7754
90	3356	7709
91	3392	7669
92	3436	7649
93	3484	7635
94	3524	7605
95	3554	7553
96	3585	7504
97	3618	7458
98	3646	7403
99	3675	7351
100	3705	7301
101	3739	7259
102	3768	7208
103	3802	7165
104	3832	7117
105	3859	7064
106	3897	7029
107	3933	6993
108	3966	6951
109	3996	6903
110	4027	6856
111	4054	6805
112	4083	6758
113	4110	6706
114	4138	6658
115	4165	6607
116	4193	6558
117	4220	6509
118	4247	6460
119	4273	6410
120	4298	6359
121	4326	6312
122	4350	6260
123	4377	6213
124	4405	6168
125	4431	6119
126	4456	6070
127	4482	6023
128	4508	5976
129	4533	5928
130	4559	5881
131	4584	5834
132	4609	5787
133	4635	5743
134	4659	5695
135	4687	5652
136	4712	5606
137	4738	5562
138	4763	5517
139	4789	5474
140	4814	5428
141	4839	5384
142	4864	5340
143	4891	5299
144	4915	5254
145	4940	5211
146	4972	5175
147	5005	5140
148	5051	5119
149	5093	5093
150	5125	5058
151	5151	5016
152	5178	4975
153	5203	4932
154	5236	4898
155	5262	4857
156	5289	4817
157	5322	4783
158	5355	4749
159	5385	4711
160	5413	4674
161	5444	4638
162	5473	4600
163	5505	4565
164	5532	4526
165	5560	4488
166	5623	4478
167	5660	4447
168	5686	4408
169	5710	4366
170	5734	4326
171	5758	4285
172	5784	4246
173	5811	4208
174	5833	4166
175	5859	4128
176	5883	4088
177	5907	4049
178	5930	4008
179	5954	3969
180	5979	3931
181	6003	3892
182	6027	3853
183	6050	3814
184	6076	3777
185	6099	3738
186	6124	3701
187	6148	3663
188	6171	3624
189	6194	3586
190	6226	3553
191	6252	3517
192	6278	3480
193	6305	3445
194	6331	3409
195	6359	3374
196	6382	3336
197	6404	3299
198	6428	3262
199	6452	3226
200	6477	3190
201	6504	3155
202	6535	3123
203	6569	3091
204	6614	3065
205	6643	3031
206	6682	3002
207	6715	2970
208	6741	2935
209	6765	2899
210	6792	2865
211	6819	2830
212	6843	2795
213	6868	2760
214	6899	2727
215	6931	2695
216	6962	2662
217	6993	2630
218	7021	2596
219	7044	2561
220	7068	2526
221	7092	2491
222	7117	2457
223	7141	2422
224	7169	2389
225	7193	2355
226	7217	2320
227	7239	2286
228	7262	2251
229	7286	2217
230	7311	2183
231	7333	2149
232	7359	2116
233	7385	2083
234	7411	2049
235	7435	2016
236	7460	1983
237	7485	1950
238	7509	1916
239	7533	1883
240	7558	1850
241	7591	1819
242	7618	1786
243	7645	1754
244	7668	1721
245	7691	1688
246	7717	1656
247	7741	1623
248	7767	1590
249	7793	1558
250	7821	1526
251	7849	1495
252	7878	1463
253	7907	1431
254	7936	1400
255	7960	1368
256	7984	1335
257	8011	1304
258	8036	1272
259	8060	1240
260	8086	1208
261	8115	1177
262	8144	1145
263	8174	1114
264	8209	1084
265	8245	1053
266	8283	1023
267	8312	992
268	8340	961
269	8365	929
270	8394	898
271	8435	868
272	8479	838
273	8508	807
274	8538	776
275	8568	745
276	8598	713
277	8623	682
278	8650	651
279	8676	619
280	8713	589
281	8739	557
282	8766	526
283	8792	495
284	8816	464
285	8842	432
286	8868	401
287	8897	370
288	8922	339
289	8945	308
290	8968	277
291	8991	246
292	9017	215
293	9039	184
294	9066	153
295	9091	122
296	9117	92
297	9140	61
298	9165	30
299	9191	0
